openalex_id,query,web_title,web_snippet,web_url,official_domain_signal,professor_title_signal,trainee_title_signal,web_checked
A5102970348,"""Je‐Jung Lee"" ""Yonsei University"" professor 교수",Je Jung Lee,"Je Jung Lee교수님 사진 · Je Jung Lee. Departmant, Hematology & Oncology. Major, Hematopoietic Stem Cell Transplant, Lymphoma, Multiple Myeloma. E-mail, drjejung@ ...",https://medicine.jnu.ac.kr/english/xprofessor/index.php?mode=view&number=201&smode=1&div1=2&div2=1&div3=6,yes,yes,no,yes
A5064161026,"""Hyeoung‐Joon Kim"" ""Chonnam National University"" professor 교수",,,,no,no,no,yes
A5077539926,"""Sungho Jang"" ""Incheon National University"" professor 교수",About the Faculty,Sungho Jang. associate professor. Sungho Jang. Position: associate professor ... COPYRIGHT c INCHEON NATIONAL UNIVERSITY. ALL RIGHTS RESERVED. Facebook ...,https://www.inu.ac.kr/engineeringlife_eng/10517/subview.do,yes,yes,no,yes
A5072950930,"""Byung Eun Min"" ""Pohang University of Science and Technology"" professor 교수",추계학술발표대회 및 국제심포지엄,"Pohang University of Science and Technology, Pohang, Gyeongbuk, 790-784 ... Seong Cheol KIM, Byung Eun MIN, Sang Woo SEO1 and Gyoo Yeol JUNG1. School of ...",https://www.ksbb.or.kr/board/download.php?code=notice&num=1860&comm=,no,no,no,yes
A5063762312,"""Sang‐Ki Kim"" ""Kongju National University"" professor 교수",,,,no,no,no,yes
A5000328867,"""Myung Hyun Noh"" ""University of San Diego"" professor 교수",,,,no,no,no,yes
A5045222188,"""HongBi Yu"" ""Samsung (South Korea)"" professor 교수",,,,no,no,no,yes
A5100739943,"""Hyun‐Young Kim"" ""Samsung Medical Center"" professor 교수",Mahmood Mamdani | Department of Anthropology,"Mahmood Mamdani is the Herbert Lehman Professor of Government. specializes in the study of colonialism, anti-colonialism and decolonisation.",https://anthropology.columbia.edu/content/mahmood-mamdani,yes,yes,no,yes
A5100694944,"""Seong‐Eun Kim"" ""Seoul National University of Science and Technology"" professor 교수",Department of Applied Artificial Intelligence - Faculty,"Faculty · Seong-Eun Kim · Major : Brain Science, Artificial Intelligence, Deep Learning · Tel : +82-2-970-6450 · E-mail : sekim@seoultech.ac.kr · profile laboratory.",https://aai.seoultech.ac.kr/en/intro/faculty,yes,yes,no,yes
A5083853234,"""Yong Hee Han"" ""Chonnam National University"" professor 교수",Yong Hee Han,"Yong Hee Han. School of Biological Sciences and Technology, Chonnam Nat'l Univ. Verified email at chonnam.ac.kr. Molecular biologySynthetic ...",https://scholar.google.com/citations?user=_b6kiX0AAAAJ&hl=en,no,no,no,yes
A5059129862,"""Seo-Yeon Ahn"" ""Chonnam National University Hospital"" professor 교수",,,,no,no,no,yes
A5100366805,"""Jin-Ho Kim"" ""Yeungnam University"" professor 교수",KSABC 2024,"... Yeungnam University, Daegu, Republic of Korea. YS1-3. 10:50-11:10 ... Jin-Ho Kim1, Chan Seo1,. Ha-Nul Lee1, Sua Im1, Ung Eun Kim1, Ji Min ...",https://ksabc.kr/files/KSABC_International_Symposium_2024_Abstract.pdf,no,no,no,yes
A5026607578,"""Tan-Huy Chu"" ""Institute of Immunology"" professor 교수",,,,no,no,no,yes
A5068416755,"""Sung‐Hoon Jung"" ""Chonnam National University Hwasun Hospital"" professor 교수",,,,no,no,no,yes
A5028790314,"""Dong Keun Han"" ""Samjin Pharm (South Korea)"" professor 교수",,,,no,no,no,yes
A5082510130,"""Se Yeon Kim"" ""Pohang University of Science and Technology"" professor 교수",Se Yeon Kim - In stealth mode startup,"Se Yeon Kim. In stealth mode startup. Truveta University of California, Los Angeles. Greater Seattle Area. 543 followers 500+ connections. See your ...",https://www.linkedin.com/in/rupang21,no,no,no,yes
A5069444992,"""Sungjee Kim"" ""Pohang University of Science and Technology"" professor 교수",nanotrio,NANOPHOTONICS & NANOMEDICAL RESEARCH GROUP. 메뉴보기. Professor 세부메뉴. Sungjee Kim ... COPYRIGHT 2025 Pohang University of Science and Technology. ALL RIGHTS ...,https://nanotrio.postech.ac.kr/,yes,yes,no,yes
A5028222807,"""Manh-Cuong Vo"" ""Duy Tan University"" professor 교수",,,,no,no,no,yes
A5047859685,"""Sanguk Kim"" ""Pohang University of Science and Technology"" professor 교수",AI Predicts Anti-Cancer Immunotherapy Response | POSTECH,"A Pohang University of Science and Technology (POSTECH) team led by Professor ... Professor Sanguk Kim explained, “This study will help us design ...",https://postech.ac.kr/eng/research/research_results.do?mode=view&articleNo=14194&title=Deciphering+Cell-to-Cell+Conversations%3A+AI+Predicts+Anti-Cancer+Immunotherapy+Response,yes,yes,no,yes
A5012598761,"""Jun Hong Jeong"" ""Pohang University of Science and Technology"" professor 교수",Sungho Jang 님 - Assistant Professor at Incheon National ...,Assistant Professor at Incheon National University · Synthetic biologist ... Pohang University of Science and Technology. 2017년 2월 - 2019년 7월 2년 6 ...,https://kr.linkedin.com/in/sungho-jang-954a58a5,no,yes,no,yes
