professor_a_id,a_name,professor_b_id,b_name,relationship_type,evidence_papers,b_first_year,years,b_institution,example_title,evidence_url,status
P0013,Je‐Jung Lee,P0020,Sung‐Hoon Jung,advisor_student,14,2010,2012-2015,Chonnam National University Hwasun Hospital,Lymphocytopenia Is Associated with an Increased Risk of Severe Infections in Patients with Multiple Myeloma Treated with Bortezomib-Based Regimens,https://doi.org/10.1182/blood.v120.21.5042.5042,auto
P0587,모지훈,P0636,유신혁,postdoc_mentor,12,2015,2021-2026,Dankook University,Understanding the Patterns and Clustering of Inhalant Allergic Sensitization,https://doi.org/10.21053/ceo.2021.00073,auto
P0194,정기홍,P0181,홍우종,advisor_student,10,2017,2017-2022,Kyung Hee University,Genome-wide identification and extensive analysis of rice-endosperm preferred genes using reference expression database,https://doi.org/10.1007/s12374-016-0552-z,auto
P0440,최유원,P0376,변지연,advisor_student,4,2006,2006-2011,Ewha Womans University,A case of zosteriform lichen planus,,auto
P0550,김인호,P0558,조성보,advisor_student,4,2019,2023-2024,Dankook University,"Marine-derived Ca-Mg complex influences lipid and glucose metabolism, serum metabolites, colostrum profile, and stress hormone in sows over four-parity periods",https://doi.org/10.5187/jast.2023.e116,auto
P0185,백무열,P0184,김현석,advisor_student,4,2006,2010-2011,Purdue University West Lafayette,Characterization of Acetylated Corn Starch Prepared under Ultrahigh Pressure (UHP),https://doi.org/10.1021/jf903939y,auto
P0590,박병철,P0644,최미수,advisor_student,3,2017,2018-2022,Dankook University,Treatment of Hair Loss in the Trichorhinophalangeal Syndrome,https://doi.org/10.5021/ad.2018.30.3.382,auto
P0597,신정은,P0620,남광우,advisor_student,3,2015,2017-2020,Dankook University Hospital,Acute gastric dilatation and ischemia associated with portal vein gas caused by binge eating,https://doi.org/10.3904/kjim.2017.050,auto
P0379,송태진,P0416,장윤경,advisor_student,3,2014,2014-2018,Ewha Womans University,Levator Palpebrae and Inferior Rectus Palsy From Thalamo-Mesencephalic Infarction,,auto
P0532,이수주,P0535,김재국,advisor_student,3,2011,2012-2016,"Daejeon Eulji Medical Center, Eulji University",Stroke Update: Risk Factors and Primary Prevention of Stroke,https://doi.org/10.5853/kjs.2012.14.1.12,auto
P0542,한규동,P0547,문세영,advisor_student,3,2011,2011-2014,Dankook University,"The 5""UTR Analysis of Human-Specific LINE-1",,auto
P0099,한은아,P0491,손현순,postdoc_mentor,3,2005,2015-2016,CHA University,Patient response to insurer-led intervention for medication adherence – a pilot study based on claims data in Korea,https://doi.org/10.5414/cp202409,auto
P0449,허정원,P0427,정태동,postdoc_mentor,2,2011,2018-2019,Ewha Womans University,Significant allelic dropout phenomenon of Oncomine BRCA Research Assay on Ion Torrent S5,https://doi.org/10.1515/cclm-2018-0674,review
P0340,김원중,P0437,채지선,advisor_student,2,2018,2023-2023,Ewha Womans University,The Effect of Super-Repressor IkB-Loaded Exosomes (Exo-srIκBs) in Chronic Post-Ischemia Pain (CPIP) Models,https://doi.org/10.3390/pharmaceutics15020553,review
P0007,김병수,P0246,윤정기,advisor_student,2,2011,2012-2016,Seoul National University,The Use of Graphene for Regenerative Medicine,https://doi.org/10.7841/ksbbj.2012.27.5.273,review
P0384,심기남,P0445,태정현,postdoc_mentor,2,2009,2015-2015,Ewha Womans University Medical Center,Current Strategies for Eradication ofHelicobacter pyloriin Korea,https://doi.org/10.7704/kjhugr.2015.15.4.222,review
P0444,최희정,P0347,김충종,postdoc_mentor,2,2007,2018-2018,Ewha Womans University,Impact of a change in duration of prophylactic antibiotics on infectious complications after radical cystectomy with a neobladder,https://doi.org/10.1097/md.0000000000013196,review
P0596,송일한,P0618,김소미,postdoc_mentor,2,2008,2014-2018,Jeju National University,Occult hepatitis B virus infection of hemodialysis patients: A cross‐sectional study in a hepatitis B virus‐endemic region,https://doi.org/10.1111/hdi.12214,review
P0034,권성원,P0032,강윤표,advisor_student,2,2013,2013-2014,Seoul National University,"Development of high performance liquid chromatography‐ultraviolet detection method for screening mebendazole, clorsulon, diaveridine, and tolfenamic acid in animal‐based food samples",https://doi.org/10.1002/dta.1467,review
P0123,김상은,P0526,강서영,advisor_student,2,2015,2015-2015,Seoul National University Bundang Hospital,The preliminary study for evaluation of coronary flow reserve using count-based quantitative myocardial SPECT,,review
P0518,송대용,P0519,유홍일,postdoc_mentor,2,2011,2017-2017,Eulji University,Neuroanatomical distribution of galectin-3 in the adult rat brain,https://doi.org/10.1007/s10735-017-9712-9,review
